timestamp,groundSteering
1584543225671891,0
1584543225772663,0
1584543225873352,0
1584543225973965,0
1584543226074529,0
1584543226175124,0
1584543226275647,0
1584543226376132,0
1584543226476676,0
1584543226577224,0
1584543226677715,0
1584543226778246,0.07197852
1584543226878811,0.07197852
1584543226979312,0.07197852
1584543227079792,0.0749791
1584543227180326,0.07197852
1584543227280818,0.06298564
1584543227381435,0.02699638
1584543227481875,0.02699638
1584543227582345,0.02699638
1584543227682831,0.02699638
1584543227783321,0.02699638
1584543227883931,0.02999697
1584543227984411,0.05398389
1584543228084875,0.06298564
1584543228185478,0.06298564
1584543228285937,0.06298564
1584543228386390,0.06298564
1584543228486833,0.06298564
1584543228587293,0.06298564
1584543228687803,0.05998505
1584543228788532,0
1584543228889345,0.05397501
1584543228989896,0.290888
1584543229090358,0.290888
1584543229190849,0.290888
1584543229291354,0.290888
1584543229391835,0.290888
1584543229492343,0.290888
1584543229593090,0.290888
1584543229693809,0.290888
1584543229794521,0.290888
1584543229895173,0.290888
1584543229995800,0.290888
1584543230096309,0.290888
1584543230196736,0
1584543230297193,0
1584543230397882,0
1584543230498629,0
1584543230599147,0
1584543230699579,0
1584543230799997,0
1584543230900426,0
1584543231000854,0.1709357
1584543231101435,0.1769368
1584543231201913,0
1584543231302359,0
1584543231402799,0
1584543231503304,0.0269875
1584543231603786,0.03297979
1584543231704257,0.03297979
1584543231804785,0.03297979
1584543231905495,0.04498214
1584543232006194,0.05997618
1584543232106696,0.06297676
1584543232207178,0.1199524
1584543232307657,0
1584543232408142,0
1584543232508666,0
1584543232609166,0
1584543232709820,0
1584543232810631,0
1584543232911299,0
1584543233011839,0
1584543233112344,0
1584543233212906,0
1584543233313543,0
