timestamp,groundSteering,groundTruth
1584543428071643,0.008,-0
1584543428173468,-0.157,-0
1584543428271716,-0.153,-0.0929649
1584543428372046,-0.153,-0.0929649
1584543428471706,-0.153,-0.0929649
1584543428572332,-0.153,-0.0929649
1584543428673479,-0.153,-0.125954
1584543428771892,-0.153,-0.191931
1584543428871687,-0.153,-0.287896
1584543428972102,-0.153,-0.290888
1584543429072166,-0.153,-0.173936
1584543429173799,-0.145,-0
1584543429272316,-0.157,-0
1584543429371314,-0.133,-0
1584543429471458,-0.096,-0
1584543429572106,-0.097,-0
1584543429673331,-0.11,-0
1584543429771610,-0.02,-0
1584543429871566,-0.006,-0
1584543429971236,0.014,-0
1584543430071397,0.042,-0
1584543430177250,-0.045,-0
1584543430271284,-0.04,-0
1584543430371277,-0.036,-0
1584543430471418,-0.029,-0
1584543430571653,-0.024,-0
1584543430673681,-0.013,-0
1584543430771247,0.016,-0
1584543430870936,0.033,-0
1584543430973979,0.056,-0
1584543431072197,0.02,-0
1584543431173027,0.031,-0
1584543431271127,0.039,-0
1584543431370819,-0.026,-0
1584543431470802,-0.041,-0
1584543431571965,0.01,-0
1584543431672757,0.015,-0
1584543431771131,-0.073,-0
1584543431873811,-0.043,-0
1584543431971127,-0.043,-0
1584543432070893,-0.036,-0
1584543432172891,-0.013,-0
1584543432270765,-0.11,-0.122953
1584543432370755,-0.1,-0.137947
1584543432470834,-0.074,-0.134946
1584543432571962,-0.036,-0.134946
1584543432672646,-0.292,-0.134946
1584543432770821,-0.093,-0.134946
1584543432870603,-0.063,-0.134946
1584543432970579,-0.026,-0.134946
1584543433071323,-0.235,-0.134946
1584543433172656,-0.22,-0.134946
1584543433270518,-0.078,-0.134946
1584543433373834,-0.045,-0.134946
1584543433470738,-0.001,-0.140948
1584543433571210,-0.156,-0.143948
1584543433672921,-0.156,-0.143948
1584543433770467,-0.156,-0.143948
1584543433870405,-0.07,-0.125954
1584543433970832,-0.024,-0.128954
1584543434070509,-0.024,-0.116952
1584543434172926,-0.119,-0
1584543434270599,-0.085,-0
1584543434370366,-0.068,-0
1584543434470425,-0.061,-0
1584543434571450,-0.054,-0
1584543434672949,-0.045,-0
1584543434770296,0.044,-0
1584543434870436,0.06,-0
1584543434970285,-0.041,-0
1584543435070265,-0.038,-0
1584543435172841,-0.037,-0
1584543435270334,-0.036,-0
1584543435371168,-0.03,-0
1584543435470624,-0.026,-0
1584543435571124,-0.021,-0
1584543435672738,-0.014,-0
1584543435770577,-0.01,-0
1584543435870811,0.087,-0
1584543435970384,-0.009,-0
1584543436070216,-0.006,-0
1584543436172469,-0,-0
1584543436273229,0.008,-0
1584543436370572,0.017,-0
1584543436469980,0.029,-0
1584543436570538,0.04,-0
1584543436672341,0.049,-0
1584543436769875,-0.046,0.0509833
1584543436869839,-0.058,-0
1584543436970150,0.04,-0
1584543437072932,0.036,-0
1584543437176419,0.038,-0
1584543437270720,0.043,-0
1584543437369886,0.049,-0
1584543437469742,0.055,-0
1584543437571172,-0.036,-0
1584543437672132,-0.062,-0
1584543437769675,0.041,-0
1584543437870196,0.046,-0
1584543437973181,0.061,-0
1584543438069858,0.077,-0
1584543438171981,0.071,-0
1584543438269545,0.061,-0
1584543438369554,0.003,-0
1584543438469953,-0.013,-0
1584543438570172,0.091,-0
1584543438671687,0.102,0.185939
1584543438772069,0.115,-0
1584543438869712,0.098,-0
1584543438969424,0.054,-0
1584543439069594,-0.045,-0
1584543439171567,-0.067,-0
1584543439269449,-0.018,-0
1584543439369657,-0.032,-0
1584543439469454,-0.017,-0
1584543439572902,0.007,-0.0209863
1584543439673161,-0.08,-0.0959654
1584543439769260,-0.069,-0.104958
1584543439869243,-0.045,-0.104958
1584543439969379,-0.002,-0.104958
1584543440069200,-0.081,-0.104958
1584543440171386,-0.052,-0.104958
1584543440269523,-0.016,-0.104958
1584543440369300,-0.098,-0.104958
1584543440469117,-0.075,-0.104958
1584543440569951,-0.044,-0.104958
1584543440671333,-0.005,-0.113951
1584543440769245,-0.129,-0.155942
1584543440869235,-0.106,-0.170936
1584543440969032,-0.074,-0.167935
1584543441069005,-0.029,-0.167935
1584543441171290,-0.133,-0.167935
1584543441269244,-0.133,-0.167935
1584543441369019,-0.064,-0.167935
1584543441469140,-0.018,-0.167935
1584543441569632,-0.164,-0.167935
1584543441671467,-0.141,-0.167935
1584543441769416,-0.122,-0
1584543441868930,-0.09,-0
1584543441969041,-0.056,-0
1584543442069271,-0.032,-0
1584543442171312,0.028,-0.014994
1584543442268736,0.024,-0.0359804
1584543442369313,0.019,-0.0359804
1584543442469178,0.013,-0.014994
1584543442569417,-0.105,-0.014994
1584543442671150,-0.102,-0.014994
1584543442768678,-0.101,-0.014994
1584543442868960,-0.035,-0.00299171
1584543442969208,-0.022,-0.00899288
1584543443068575,-0.006,-0.053975
1584543443170727,0.017,-0.053975
1584543443271691,0.013,-0.053975
1584543443368626,-0.071,-0.053975
1584543443468522,-0.051,-0.0359804
1584543443569604,-0.029,-0
1584543443671081,0.002,-0
1584543443768527,0.031,-0
1584543443868673,0.019,-0
1584543443968423,-0.054,-0
1584543444068564,0.059,-0
1584543444170756,0.072,-0
1584543444268572,0.087,-0
1584543444368650,0.11,-0
1584543444468630,0.066,-0
1584543444568997,0.115,-0
1584543444670392,0.135,0.119961
1584543444768476,0.138,-0
1584543444868652,0.14,-0
1584543444968194,0.117,-0
1584543445068344,0.125,-0
1584543445170349,0.123,-0
1584543445268286,0.119,0.149949
1584543445368391,0.113,0.239922
1584543445468374,0.105,0.224928
1584543445569043,0.061,-0
1584543445670485,0.01,-0
1584543445768591,-0.02,-0.0449821
1584543445868237,-0.002,-0.290888
1584543445968211,-0.002,-0.290888
1584543446067994,-0.002,-0.290888
1584543446170210,-0.002,-0.22492
1584543446268794,-0.014,-0.290888
1584543446368141,-0.014,-0.290888
1584543446467981,-0.014,-0.290888
1584543446568947,-0.016,-0.290888
1584543446671098,-0.016,-0.197923
1584543446768020,-0.048,-0.155942
1584543446868070,-0.113,-0.152941
1584543446967869,-0.046,-0.191931
1584543447068250,0.039,-0.0869637
1584543447169961,0.062,0.290888
1584543447267850,0.098,0.290888
1584543447367900,0.019,0.0959743
1584543447467926,-0.026,-0
1584543447568525,-0.045,-0.0179858
1584543447669787,-0.035,-0.230912
1584543447767870,-0.003,-0.290888
1584543447867711,-0.003,-0
1584543447967678,-0.003,-0
1584543448067864,-0.059,-0
1584543448169564,-0.028,-0.272902
1584543448267637,0.017,-0.272902
1584543448367788,-0.133,-0.275894
1584543448467811,-0.168,-0
1584543448568246,-0.033,-0.00899288
1584543448669464,-0.111,-0.18893
1584543448767515,-0.1,-0.242905
1584543448867544,-0.071,-0
1584543448972042,-0.009,-0
1584543449068403,-0.114,-0
1584543449169435,-0.103,-0.200924
1584543449267783,-0.103,-0
1584543449367416,-0.064,-0
1584543449467860,-0.01,-0.143948
1584543449568259,-0.131,-0.206925
1584543449669110,-0.131,-0.209925
1584543449767771,-0.072,-0.14994
1584543449870313,-0.005,-0.134946
1584543449967562,-0.019,-0
1584543450067607,0.071,0.290888
1584543450169589,0.09,0.290888
1584543450267308,0.061,0.197932
1584543450367226,0.065,-0
1584543450467477,-0.023,-0.14994
1584543450567943,-0.045,-0.257908
1584543450672667,-0.001,-0.2639
1584543450767582,0.013,-0
1584543450867303,0.047,0.290888
1584543450967512,0.08,0.290888
1584543451067396,0.186,0.290888
1584543451168862,-0.005,-0
1584543451267312,0.174,-0
1584543451367523,0.074,0.0150029
1584543451469785,0.029,0.0329887
1584543451568522,-0.013,0.146949
1584543451669054,0.164,0.275903
1584543451767520,0.163,-0
1584543451867907,0.148,0.176946
1584543451967375,0.006,0.251916
1584543452067145,0.026,-0
1584543452168846,-0.001,-0.0569756
1584543452269772,-0.108,-0.0869637
1584543452367606,-0.198,-0.290888
1584543452466859,-0.195,-0.290888
1584543452567832,-0.181,-0.290888
1584543452668871,-0.15,-0.290888
1584543452766748,-0.185,-0.290888
1584543452866922,-0.153,-0.290888
1584543452966719,0.019,-0.290888
1584543453066688,-0.145,-0.290888
1584543453168498,0.002,-0.104958
1584543453266703,0.002,-0.0839631
1584543453367198,-0.012,-0.0779708
1584543453467095,0.055,-0.110959
1584543453567284,-0.059,-0.00299171
1584543453668442,-0.025,-0
1584543453766707,0.02,-0
1584543453866759,0.062,-0
1584543453966494,-0.003,-0
1584543454066654,0.003,-0.182929
1584543454168464,0.003,-0.18593
1584543454266466,-0.003,-0.161934
1584543454366634,-0.003,-0.0809625
1584543454469117,0.028,-0.0689691
1584543454567279,0.063,-0
1584543454668950,0.078,0.290888
1584543454766329,0.095,-0
1584543454866509,0.152,-0
1584543454966475,0.026,0.0479916
1584543455066314,0.079,-0
1584543455168328,0.087,-0
1584543455266554,0.075,-0
1584543455366211,-0.011,-0
1584543455466260,-0.034,-0
1584543455567002,0.053,-0
1584543455668270,0.067,-0
1584543455766136,-0.009,-0
1584543455866273,-0.024,-0
1584543455968670,-0.012,-0
1584543456066316,-0.091,-0.110959
1584543456168282,-0.08,-0.191931
1584543456266189,-0.061,-0.191931
1584543456366365,-0,-0.290888
1584543456466393,-0.076,-0.290888
1584543456566688,-0.12,-0.290888
1584543456668278,-0.049,-0
1584543456769112,-0.049,-0
1584543456866199,-0.007,-0.251907
1584543456966265,-0.089,-0.200924
1584543457066507,-0.064,-0.206925
1584543457168052,-0.003,-0.290888
1584543457266219,-0.003,-0.290888
1584543457366219,-0.069,-0
1584543457465981,-0.057,-0
1584543457569316,-0.021,-0
1584543457669335,0.034,-0
1584543457767725,0.072,0.0150029
1584543457866215,0.058,0.239922
1584543457966470,-0.023,-0
1584543458065650,0.087,-0
1584543458168268,0.068,0.0209952
1584543458265903,-0.016,-0
1584543458370468,-0.034,-0
1584543458467577,0.047,-0
1584543458566725,-0.081,-0
1584543458667749,-0.091,-0
1584543458765587,-0.1,-0.0899643
1584543458865735,-0.041,-0
1584543458965677,-0.039,-0
1584543459065698,-0.035,-0
1584543459168236,-0.021,-0
1584543459265525,-0.144,-0
1584543459365434,-0.12,-0.0329798
1584543459465649,-0.137,-0.290888
1584543459566374,-0.152,-0
1584543459667962,-0.152,-0
1584543459765712,-0.096,-0
1584543459865612,-0.09,-0
1584543459965485,-0.083,-0
1584543460065742,0.044,-0
1584543460167882,0.003,-0
1584543460265423,0.014,-0
1584543460365708,0.026,-0
1584543460465416,0.041,-0
1584543460565957,-0.017,-0
1584543460667674,-0.025,-0
1584543460765298,0.078,0.0599851
1584543460865480,0.03,0.161943
1584543460965628,0.026,-0
1584543461065207,-0.017,-0
1584543461167894,-0.006,-0
1584543461265476,-0.015,-0
1584543461365286,-0.017,-0
1584543461465213,-0.017,-0
1584543461566174,-0.016,-0
1584543461667877,-0.016,-0
1584543461765335,-0.016,-0
1584543461865569,-0.016,-0
1584543461965168,-0.016,-0
1584543462068069,-0.016,-0
1584543462168497,-0.016,-0
1584543462265025,-0.016,-0
1584543462364915,-0.017,-0
1584543462465109,-0.017,-0
1584543462565532,-0.02,-0
1584543462666979,-0.012,-0
1584543462764996,-0,-0
1584543462867550,-0.087,-0.0509744
1584543462964802,-0.082,-0.0509744
1584543463064974,-0.062,-0.0449821
1584543463166867,-0.033,-0.0899643
1584543463264699,0.005,-0.0929649
1584543463364982,-0.092,-0.0929649
1584543463464762,-0.053,-0.155942
1584543463565343,0.002,-0.182929
1584543463667012,-0.134,-0.182929
1584543463764635,-0.09,-0.182929
1584543463864661,-0.031,-0.182929
1584543463964922,-0.031,-0.182929
1584543464064810,-0.031,-0.182929
1584543464166828,-0.089,-0.182929
1584543464264723,-0.057,-0.182929
1584543464364582,-0.017,-0.182929
1584543464464523,-0.18,-0.18593
1584543464565304,-0.163,-0.18593
1584543464666645,-0.144,-0.18593
1584543464764437,-0.126,-0.18593
1584543464864622,-0.102,-0.18593
1584543464964397,-0.073,-0.182929
1584543465064380,-0.039,-0.0689691
1584543465166691,0.001,-0
1584543465264372,0.003,-0
1584543465364316,0.084,-0
1584543465464480,0.084,-0
1584543465565009,0.084,-0
1584543465666300,0.006,-0
1584543465764433,0.011,-0
1584543465864200,0.017,-0
1584543465964269,0.023,-0
1584543466064438,0.028,-0
1584543466166181,0.039,-0
1584543466264474,0.022,-0
1584543466364352,-0.077,-0
1584543466466716,0.027,-0
1584543466565392,0.039,0.188939
1584543466666342,0.062,-0
1584543466764146,0.038,-0
1584543466864127,-0.011,-0
1584543466964464,-0.016,-0
1584543467064064,0.071,-0
1584543467166158,-0.045,-0.125954
1584543467266727,-0.054,-0
1584543467364198,-0.033,-0
1584543467464008,0.004,-0
1584543467564932,0.02,-0
1584543467666037,0.037,-0
1584543467763923,-0.046,-0
1584543467864085,0.055,-0
1584543467963994,0.078,-0
1584543468066906,0.072,-0
1584543468166306,0.061,-0
1584543468264023,0.026,-0
1584543468364228,0.014,-0
1584543468464186,0.035,0.00600117
1584543468564750,0.059,-0
1584543468666450,0.074,-0
1584543468764824,0.09,-0
1584543468867727,-0.011,-0
1584543468967855,-0.021,-0
1584543469064068,-0.036,-0
1584543469165749,-0.044,-0
1584543469263576,-0.026,-0
1584543469363937,-0.006,-0.22492
1584543469463985,0.01,-0.179929
1584543469564442,-0.118,-0.179929
1584543469665784,-0.113,-0.227911
1584543469763484,-0.115,-0.248906
1584543469863820,-0.118,-0.248906
1584543469964016,-0.119,-0.248906
1584543470063698,-0.12,-0.245906
1584543470165486,-0.117,-0.248906
1584543470263789,-0.109,-0.245906
1584543470363552,-0.093,-0.245906
1584543470466912,-0.07,-0.245906
1584543470564582,-0.042,-0.131946
1584543470665720,0.017,0.0779797
1584543470763487,-0.047,0.212926
1584543470863448,-0.008,-0
1584543470963454,-0.031,-0
1584543471063258,-0.046,-0
1584543471165702,-0.042,-0
1584543471267004,-0.034,-0.0839631
1584543471363153,-0.029,-0
1584543471463322,-0.022,-0.0629768
1584543471563756,-0.011,-0.182929
1584543471665214,-0.005,-0.18893
1584543471763225,0.005,-0.18893
1584543471863051,0.017,-0.18593
1584543471963048,0.026,-0.18593
1584543472065684,0.028,-0.18593
1584543472165385,0.028,-0.18593
1584543472262911,0.028,-0.18593
1584543472363344,-0.19,-0.18593
1584543472462868,-0.107,-0.14994
1584543472563537,-0.101,-0
1584543472665149,-0.097,-0
1584543472762835,-0.095,0.0569845
1584543472862921,-0.095,0.0479916
1584543472962963,-0.095,-0
1584543473062796,-0.095,-0
1584543473164908,-0.095,-0
1584543473262967,-0.094,-0
1584543473362883,-0.181,-0.0419816
1584543473462700,-0.185,-0.233912
1584543473563537,-0.188,-0.14994
1584543473665039,-0.037,-0.0839631
1584543473762726,-0.037,-0.158942
1584543473863216,-0.037,-0.125954
1584543473963402,-0.049,-0
1584543474062700,-0.049,-0
1584543474164988,-0.049,-0
1584543474263198,-0.049,-0.0419816
1584543474362797,-0.141,-0.254908
1584543474462748,-0.137,-0.290888
1584543474563364,-0.128,-0.254908
1584543474664522,-0.128,-0.251907
1584543474762755,-0.036,-0
1584543474862519,-0.118,-0
1584543474965072,-0.078,-0
1584543475063204,-0.055,-0
1584543475164061,-0.035,-0
1584543475262448,-0.003,-0.248906
1584543475362599,-0.12,-0
1584543475462441,-0.153,-0
1584543475563252,-0.126,-0
1584543475664434,-0.029,-0.191931
1584543475762419,-0.102,-0.2609
1584543475862504,-0.123,-0
1584543475962632,-0.017,-0
1584543476062460,-0.007,-0
1584543476164056,0.058,0.212926
1584543476262484,0.049,-0
1584543476362469,0.032,-0
1584543476462546,0.089,-0
1584543476563323,0.058,0.290888
1584543476664022,0.03,0.179937
1584543476762739,-0.017,0.278903
1584543476863339,0.197,0.197932
1584543476962186,0.04,0.197932
1584543477062066,0.095,0.0209952
1584543477163920,0.019,-0.0749702
1584543477262170,-0.08,-0.215918
1584543477362119,-0.039,-0.215918
1584543477462240,-0.073,-0
1584543477562902,-0.025,0.290888
1584543477663782,0.048,0.290888
1584543477762171,0.06,-0
1584543477861987,0.014,-0
1584543477962101,0.022,-0.0719696
1584543478062091,-0.096,-0.191931
1584543478163477,-0.16,-0.158942
1584543478261821,-0.214,-0.158942
1584543478362190,-0.217,-0.152941
1584543478462013,0.001,-0.14694
1584543478562566,-0.072,-0.128954
1584543478663823,-0.004,-0.128954
1584543478762065,-0.085,-0.0179858
1584543478861754,-0.034,-0
1584543478962463,0.002,-0
1584543479061764,0.05,-0.0269875
1584543479163624,0.05,-0.158942
1584543479262305,0.05,-0.179929
1584543479361672,-0.011,-0.176937
1584543479461943,0.001,-0.194923
1584543479562695,0.041,-0
1584543479664422,0.066,-0
1584543479761699,0.09,0.290888
1584543479861749,0.155,-0
1584543479961927,0.129,-0
1584543480061721,-0.021,-0
1584543480163788,0.104,-0
1584543480261644,0.055,-0
1584543480361442,0.052,-0
1584543480461594,0.051,-0
1584543480562030,0.05,-0
1584543480663453,0.051,-0
1584543480761564,0.05,-0
1584543480861314,0.048,-0
1584543480961295,0.048,-0
1584543481061487,0.048,-0
1584543481163322,0.048,-0
1584543481261250,0.048,-0
1584543481361410,0.048,-0
1584543481361410,0.048,-0
